doc_number,corpus_size,vocab_count
875,428503,43213
876,428829,43237
877,429340,43254
878,429636,43269
879,429997,43278
880,430177,43284
881,432328,43434
882,432537,43441
883,432810,43453
884,433516,43481
885,433812,43492
886,434247,43526
887,434383,43529
888,434575,43537
889,434823,43544
890,434968,43544
891,435646,43619
892,435924,43636
893,436258,43707
894,436410,43716
895,436721,43732
896,436929,43749
897,437119,43753
898,438683,43921
899,438849,43925
900,439201,43945
901,439327,43949
902,439598,43968
903,439753,43972
904,440387,44053
905,440546,44059
906,440731,44061
907,441025,44071
908,442212,44074
909,442380,44081
910,442651,44102
911,442894,44162
912,443107,44170
913,443626,44198
914,443984,44220
915,444221,44227
916,444394,44234
917,444562,44238
918,444740,44247
919,449208,44530
920,449331,44531
921,449652,44541
922,449850,44547
923,450094,44575
924,450260,44578
925,450472,44600
926,450640,44604
927,451218,44647
928,451529,44678
929,452002,44702
930,452702,44757
931,452849,44762
932,453095,44772
933,453236,44773
934,453538,44805
935,454195,44850
936,454370,44853
937,454560,44858
938,455109,44877
939,455314,44916
940,455475,44922
941,455709,44937
942,455905,44951
943,456454,44986
944,456595,44987
945,459248,45172
946,459676,45211
947,459856,45215
948,460068,45220
949,461998,45333
950,462943,45389
951,463391,45418
952,463571,45433
953,463775,45458
954,463913,45467
955,464180,45487
956,464391,45490
957,464593,45498
958,466103,45553
959,466330,45556
960,468130,45650
961,468458,45660
962,468773,45679
963,469864,45723
964,470363,45745
965,470529,45747
966,471082,45812
967,472469,45875
968,472750,45882
969,472894,45887
970,473186,45904
971,473421,45909
972,473933,45938
973,474092,45942
974,474344,45952
975,474528,45956
976,474717,45964
977,475006,45969
978,475168,45974
979,476635,46122
980,477282,46157
981,477515,46159
982,477888,46177
983,478037,46184
984,478217,46199
985,478810,46245
986,479659,46531
987,479886,46542
988,480573,46561
989,480804,46570
990,480910,46573
991,481263,46586
992,481409,46591
993,481581,46598
994,481861,46614
995,482177,46635
996,482796,46719
997,482946,46725
998,483958,47016
999,484549,47036
1000,485059,47079
1001,485753,47119
1002,485910,47127
1003,486409,47140
1004,486588,47143
1005,487103,47155
1006,487515,47163
1007,487740,47171
1008,488214,47182
1009,488546,47188
1010,488702,47194
1011,488868,47197
1012,489831,47269
1013,490160,47302
1014,491342,47367
1015,491657,47385
1016,491913,47388
1017,492050,47389
1018,492344,47402
1019,493471,47480
1020,493674,47486
1021,493931,47492
1022,494116,47497
1023,494381,47505
1024,494555,47512
1025,495277,47560
1026,495437,47566
1027,495585,47585
1028,496053,47612
1029,496186,47618
1030,496915,47688
1031,497028,47689
1032,497288,47704
1033,497411,47707
1034,497853,47753
1035,498069,47759
1036,498190,47760
1037,498423,47773
1038,498870,47796
1039,499725,47840
1040,500042,47862
1041,500159,47863
1042,500646,47883
1043,501164,47901
1044,502281,47967
1045,502496,47981
1046,503141,47999
1047,503848,48023
1048,504076,48038
1049,504286,48047
1050,504599,48050
1051,505627,48095
1052,505885,48098
1053,506330,48118
1054,506864,48138
1055,507351,48154
1056,507953,48175
1057,508420,48190
1058,508624,48207
1059,508825,48286
1060,508980,48295
1061,509227,48315
1062,509411,48321
1063,509633,48354
1064,509766,48355
1065,510034,48379
1066,510390,48393
1067,510619,48414
1068,511029,48445
1069,511985,48509
1070,516034,48906
1071,516339,48913
1072,516616,49000
1073,517128,49027
1074,517379,49036
1075,517603,49041
1076,517733,49045
1077,518327,49072
1078,518488,49078
1079,518650,49086
1080,520790,49159
1081,521691,49222
1082,522025,49229
1083,522305,49237
1084,522506,49245
1085,522628,49251
1086,522980,49273
1087,523563,49306
1088,523715,49312
1089,524327,49358
1090,524476,49365
1091,529070,49584
1092,529317,49592
1093,529787,49608
1094,530019,49638
1095,530182,49643
1096,530617,49675
1097,530944,49701
1098,532183,49752
1099,532422,49761
1100,532882,49774
1101,533016,49774
1102,533289,49783
1103,533928,49850
1104,534388,49901
1105,534590,49903
1106,535050,49921
1107,537080,50002
1108,537380,50008
1109,538421,50497
1110,538826,50547
1111,539253,50567
1112,539461,50580
1113,539670,50586
1114,541845,50799
1115,542294,50834
1116,542473,50839
1117,542815,50847
1118,543178,50880
1119,543483,50894
1120,544003,51015
1121,544667,51054
1122,545544,51084
1123,545708,51088
1124,546039,51098
1125,547745,51411
1126,547880,51416
1127,548041,51426
1128,548216,51432
1129,548553,51436
1130,548677,51441
1131,549250,51481
1132,550082,51526
1133,550346,51536
1134,550615,51574
1135,550983,51595
1136,551370,51614
1137,551569,51623
1138,552417,51729
1139,552891,51773
1140,553220,51804
1141,553477,51813
1142,553706,51820
1143,553835,51824
1144,554004,51837
1145,554239,51897
1146,555533,51962
1147,555783,51982
1148,556637,52025
1149,557169,52034
1150,557822,52072
1151,558521,52129
1152,558820,52136
1153,559167,52169
1154,559353,52173
1155,560308,52208
1156,560638,52213
1157,561041,52240
1158,561159,52243
1159,563404,52407
1160,563633,52416
1161,564120,52434
1162,564413,52441
1163,564546,52445
1164,564678,52447
1165,565486,52715
1166,565634,52718
1167,565825,52724
1168,566290,52788
1169,566446,52795
1170,566600,52820
1171,566774,52825
1172,567053,52854
1173,567236,52864
1174,567455,52875
1175,569468,52914
1176,569908,52986
1177,570368,53030
1178,570672,53099
1179,570809,53105
1180,571296,53155
1181,572051,53265
1182,572269,53269
1183,573263,53332
1184,574051,53425
1185,574385,53437
1186,574669,53453
1187,575119,53466
1188,575641,53832
1189,575838,53837
1190,576013,53841
1191,577514,53881
1192,577838,53894
1193,578144,53906
1194,582710,54043
1195,583868,54072
1196,584155,54076
1197,584399,54088
1198,584764,54100
1199,585731,54151
1200,585870,54151
1201,586265,54163
1202,586551,54187
1203,586789,54195
1204,586936,54197
1205,587325,54212
1206,587481,54215
1207,587674,54223
1208,588057,54245
1209,588772,54278
1210,589179,54292
1211,589317,54296
1212,589565,54324
1213,589703,54333
1214,590592,54359
1215,590876,54365
1216,591049,54368
1217,591317,54378
1218,592361,54463
1219,592694,54487
1220,592995,54498
1221,593266,54510
1222,593493,54515
1223,594081,54583
1224,594584,54616
1225,595062,54630
1226,595879,54651
1227,596937,54702
1228,598341,54782
1229,598705,54787
1230,598892,54793
1231,599111,54796
1232,599458,54813
1233,599772,54924
1234,599951,54940
1235,600211,54961
1236,600747,54975
1237,600899,54979
1238,601079,54981
1239,601232,54986
1240,601461,54998
1241,602803,55045
1242,603733,55106
1243,604191,55178
1244,604393,55185
1245,604873,55205
1246,605065,55210
1247,607475,55252
1248,607670,55259
1249,608775,55320
1250,609111,55334
1251,609498,55352
1252,610557,55391
1253,610736,55402
1254,612524,55466
1255,612735,55474
1256,614306,55577
1257,616841,55645
1258,620760,55825
1259,621019,55842
1260,621359,55865
1261,621606,55878
1262,622750,55916
1263,622960,55940
1264,623462,55970
1265,624384,55999
1266,624526,56002
1267,624976,56021
1268,625701,56042
1269,625829,56045
1270,626394,56065
1271,626570,56072
1272,626972,56107
1273,627217,56115
1274,627865,56135
1275,628098,56140
1276,628827,56173
1277,629142,56196
1278,629359,56236
1279,629629,56239
1280,629780,56239
1281,629943,56246
1282,631072,56285
1283,631278,56287
1284,632003,56396
1285,632446,56458
1286,632590,56459
1287,632797,56469
1288,633896,56532
1289,634342,56544
1290,636506,56620
1291,637391,56672
1292,637610,56677
1293,637854,56687
1294,639022,56770
1295,639230,56783
1296,640649,56808
1297,641129,56876
1298,641404,56892
1299,641523,56893
1300,642459,56945
1301,642772,56959
1302,644311,56999
1303,644824,57025
1304,645441,57053
1305,645879,57128
1306,646194,57136
1307,646615,57161
1308,647094,57180
1309,647227,57183
1310,651916,57387
1311,652076,57390
1312,652390,57403
1313,653202,57472
1314,653524,57642
1315,653937,57653
1316,654455,57684
1317,654938,57689
1318,655118,57696
1319,655836,57762
1320,655962,57763
1321,656646,57793
1322,656855,57804
1323,657171,57809
1324,657328,57815
1325,658072,57849
1326,659142,57877
1327,659353,57883
1328,659481,57887
1329,659657,57892
1330,660048,57907
1331,660436,57919
1332,662646,58032
1333,662882,58038
1334,664042,58100
1335,664404,58126
1336,666146,58256
1337,666337,58272
1338,667121,58304
1339,667373,58311
1340,667729,58325
1341,667985,58333
1342,668541,58366
1343,668693,58408
1344,668956,58432
1345,669213,58436
1346,669452,58442
1347,669705,58452
1348,669841,58455
1349,670052,58458
1350,670199,58461
1351,670566,58482
1352,671081,58520
1353,671467,58574
1354,671873,58599
1355,672023,58603
1356,672596,58613
1357,672811,58621
1358,673404,58638
1359,674057,58660
1360,674379,58680
1361,674605,58690
1362,674880,58699
1363,675088,58709
1364,675267,58710
1365,675403,58716
1366,675595,58717
1367,675745,58720
1368,676158,58741
1369,676729,58758
1370,677034,58781
1371,677421,58807
1372,677893,58818
1373,681277,59005
1374,681582,59014
1375,681813,59029
1376,682914,59073
1377,684202,59146
1378,686865,59249
1379,687124,59256
1380,687600,59275
1381,687764,59278
1382,688039,59284
1383,688248,59289
1384,688447,59295
1385,688621,59298
1386,688876,59299
1387,689102,59306
1388,689439,59321
1389,689891,59343
1390,690283,59351
1391,690429,59356
1392,690676,59366
1393,691152,59381
1394,691696,59425
1395,692105,59445
1396,692541,59462
1397,692911,59477
1398,693563,59522
1399,693953,59529
1400,694216,59535
1401,694760,59556
1402,695179,59568
1403,695355,59574
1404,695685,59589
1405,695825,59589
1406,695969,59611
1407,696160,59621
1408,696300,59627
1409,696454,59629
1410,696626,59635
1411,697043,59643
1412,697212,59652
1413,697467,59673
1414,697722,59680
1415,699891,59771
1416,700137,59783
1417,700432,59799
1418,700744,59822
1419,700899,59825
1420,701099,59833
1421,701266,59834
1422,701824,59864
1423,702200,59871
1424,702377,59879
1425,702578,59889
1426,704076,59943
1427,704962,59997
1428,705254,60011
1429,705409,60023
1430,705647,60026
1431,705904,60044
1432,706220,60058
1433,706353,60064
1434,706685,60071
1435,714969,60387
1436,715510,60408
1437,716356,60445
1438,717744,60644
1439,717931,60652
1440,718368,60690
1441,718667,60712
1442,719340,60759
1443,719526,60768
1444,720395,60790
1445,720562,60793
1446,721232,60839
1447,721403,60842
1448,721590,60845
1449,722170,60855
1450,722416,60932
1451,724736,61056
1452,726015,61225
1453,727228,61273
1454,727682,61298
1455,727911,61318
1456,728060,61323
1457,728567,61354
1458,728779,61360
1459,729453,61412
1460,729779,61598
1461,730177,61628
1462,730474,61654
1463,730664,61663
1464,730789,61663
1465,731097,61715
1466,731330,61727
1467,731609,61746
1468,731792,61757
1469,732088,61790
1470,732322,61823
1471,732468,61827
1472,732618,61830
1473,732820,61842
1474,732969,61845
1475,733480,61861
1476,734253,61887
1477,734560,61895
1478,735098,61916
1479,735453,61925
1480,735795,61932
1481,735996,61940
1482,736210,61953
1483,736604,61966
1484,736916,61973
1485,737346,61995
1486,737957,62052
1487,738190,62059
1488,738636,62094
1489,738828,62100
1490,739374,62135
1491,739769,62154
1492,740034,62219
1493,740519,62233
1494,740654,62239
1495,740797,62243
1496,740964,62244
1497,741218,62249
1498,741442,62251
1499,741648,62268
1500,742917,62312
1501,743262,62359
1502,743451,62365
1503,743659,62368
1504,743889,62379
1505,745625,62421
1506,746084,62441
