doc_number,corpus_size,vocab_count
1018,547125,47929
1019,547624,47981
1020,548204,48005
1021,548370,48008
1022,548887,48012
1023,549335,48027
1024,550175,48056
1025,550863,48066
1026,551653,48142
1027,553170,48229
1028,553358,48238
1029,553582,48250
1030,555851,48369
1031,556920,48474
1032,557040,48484
1033,557457,48503
1034,557764,48514
1035,557999,48521
1036,558260,48540
1037,558422,48546
1038,558744,48555
1039,558877,48557
1040,559227,48579
1041,560777,48682
1042,560975,48690
1043,561782,48709
1044,562107,48750
1045,562316,48763
1046,562440,48771
1047,562650,48776
1048,562905,48784
1049,563137,48793
1050,563481,48809
1051,563754,48819
1052,564690,48865
1053,564843,48865
1054,568085,48929
1055,568794,48956
1056,568928,48960
1057,569396,48984
1058,569702,48991
1059,569900,48998
1060,570381,49038
1061,571680,49154
1062,572166,49244
1063,572480,49264
1064,572695,49287
1065,572829,49289
1066,573613,49300
1067,574076,49383
1068,574343,49406
1069,575120,49444
1070,575311,49452
1071,575503,49460
1072,575684,49464
1073,577172,49588
1074,577721,49694
1075,577853,49697
1076,578306,49718
1077,578472,49726
1078,578755,49732
1079,579051,49766
1080,579278,49784
1081,579463,49792
1082,579676,49793
1083,580523,49888
1084,580828,49897
1085,581242,49915
1086,581764,49962
1087,581951,49974
1088,582233,49985
1089,584007,50049
1090,586517,50121
1091,586773,50131
1092,587002,50134
1093,587417,50151
1094,587952,50179
1095,588137,50198
1096,588903,50230
1097,589053,50233
1098,589251,50246
1099,589521,50277
1100,590290,50308
1101,590960,50342
1102,591139,50348
1103,591360,50357
1104,591639,50425
1105,592032,50432
1106,592363,50457
1107,592627,50467
1108,592819,50484
1109,593038,50494
1110,593267,50508
1111,593494,50517
1112,593791,50526
1113,594135,50540
1114,594375,50569
1115,594569,50579
1116,594853,50590
1117,594983,50592
1118,595405,50598
1119,596285,50736
1120,596461,50743
1121,596640,50771
1122,596940,50799
1123,597259,50835
1124,597542,50862
1125,597752,50868
1126,598006,50871
1127,598123,50871
1128,598649,50915
1129,598968,50949
1130,599224,50965
1131,599487,50974
1132,599855,50986
1133,600715,51027
1134,600922,51034
1135,601132,51039
1136,601816,51083
1137,602072,51095
1138,602274,51103
1139,602454,51110
1140,602574,51111
1141,603504,51150
1142,603639,51155
1143,603851,51189
1144,603997,51192
1145,606519,51332
1146,606727,51335
1147,607548,51398
1148,607722,51402
1149,607897,51409
1150,608016,51411
1151,608271,51419
1152,610292,51509
1153,610686,51540
1154,610852,51563
1155,611153,51579
1156,611430,51634
1157,611615,51639
1158,611803,51641
1159,611934,51645
1160,612536,51702
1161,612709,51704
1162,612914,51708
1163,613318,51790
1164,613670,51834
1165,614174,51852
1166,614312,51853
1167,614455,51862
1168,614689,51875
1169,615009,51915
1170,615821,51941
1171,616084,51957
1172,616710,51984
1173,616899,51988
1174,617210,51995
1175,617414,52001
1176,617561,52003
1177,617785,52006
1178,619505,52081
1179,620160,52122
1180,620635,52134
1181,621073,52228
1182,621477,52253
1183,621620,52258
1184,622435,52288
1185,622666,52296
1186,622904,52313
1187,623031,52322
1188,623977,52367
1189,624527,52382
1190,624880,52413
1191,625307,52418
1192,625427,52419
1193,625729,52426
1194,626318,52452
1195,626606,52462
1196,626911,52526
1197,627104,52531
1198,627741,52554
1199,628585,52645
1200,628873,52655
1201,629745,52692
1202,629891,52696
1203,630294,52852
1204,630417,52854
1205,631593,52919
1206,632134,53024
1207,632623,53044
1208,633021,53064
1209,633225,53069
1210,633438,53087
1211,633718,53093
1212,634024,53101
1213,634235,53104
1214,634401,53112
1215,634864,53141
1216,635536,53273
1217,635726,53276
1218,635957,53288
1219,636104,53293
1220,636252,53304
1221,636677,53325
1222,636950,53338
1223,637117,53348
1224,637297,53357
1225,637740,53374
1226,643678,53569
1227,645844,53645
1228,645996,53649
1229,646201,53691
1230,646343,53693
1231,646491,53695
1232,646602,53695
1233,647357,53731
1234,647659,53742
1235,648223,53771
1236,648649,53791
1237,649180,53837
1238,649404,53852
1239,650298,53890
1240,652152,53957
1241,652355,53961
1242,652479,53962
1243,652965,53982
1244,653189,53996
1245,653328,54000
1246,653465,54002
1247,653758,54020
1248,654198,54032
1249,654454,54042
1250,655045,54072
1251,655297,54086
1252,655595,54102
1253,655839,54105
1254,656229,54115
1255,656478,54129
1256,657097,54169
1257,657446,54183
1258,658146,54231
1259,660517,54300
1260,660901,54327
1261,661084,54343
1262,661412,54496
1263,661769,54520
1264,661948,54541
1265,662537,54612
1266,663101,54642
1267,663624,54665
1268,663834,54732
1269,664207,54747
1270,664353,54750
1271,664473,54752
1272,664633,54758
1273,665057,54768
1274,665388,54775
1275,665550,54783
1276,665745,54795
1277,665903,54797
1278,666059,54804
1279,666742,54837
1280,666898,54841
1281,667068,54850
1282,667390,54872
1283,668324,54989
1284,668631,54998
1285,669168,55023
1286,670946,55167
1287,671178,55174
1288,672008,55247
1289,672538,55259
1290,673064,55331
1291,673614,55357
1292,673765,55362
1293,674473,55415
1294,675113,55462
1295,675444,55516
1296,675810,55596
1297,675975,55602
1298,676298,55624
1299,676893,55632
1300,677030,55640
1301,677270,55655
1302,678892,55830
1303,679020,55830
1304,679116,55834
1305,679375,55841
1306,679629,55846
1307,679904,55857
1308,681197,55902
1309,681501,55913
1310,681853,55926
1311,682059,55945
1312,682728,55976
1313,682904,55985
1314,683229,56012
1315,683812,56030
1316,684121,56050
1317,684320,56056
1318,684532,56061
1319,684705,56069
1320,684921,56117
1321,685240,56132
1322,685366,56132
1323,685796,56161
1324,686137,56175
1325,686360,56178
1326,686723,56230
1327,686899,56235
1328,687088,56240
1329,687436,56245
1330,687722,56252
1331,687924,56261
1332,688682,56282
1333,688804,56282
1334,689060,56284
1335,689633,56305
1336,690327,56344
1337,690443,56344
1338,690559,56344
1339,690685,56345
1340,690797,56347
1341,691140,56467
1342,691386,56471
1343,691508,56472
1344,691916,56663
1345,692348,56932
1346,692769,56980
1347,692925,56983
1348,693132,56986
1349,693285,56994
1350,693857,57139
1351,694095,57144
1352,694577,57170
1353,695055,57173
1354,695402,57181
1355,695560,57183
1356,695684,57184
1357,696575,57221
1358,696692,57224
1359,697380,57253
1360,697558,57258
1361,697900,57337
1362,698032,57362
1363,698229,57376
1364,698760,57399
1365,699464,57434
1366,700454,57467
1367,700631,57491
1368,700835,57503
1369,701061,57518
1370,702132,57560
1371,702908,57603
1372,703404,57616
1373,704044,57638
1374,704489,57664
1375,705242,57691
1376,705989,57752
1377,706126,57752
1378,706298,57763
1379,706434,57766
1380,706596,57771
1381,706710,57773
1382,707037,57799
1383,707209,57815
1384,707521,57826
1385,708531,57867
1386,709054,57883
1387,709458,57893
1388,709780,57932
1389,711585,57997
1390,712026,58006
1391,712239,58014
1392,712383,58015
1393,712768,58028
1394,712964,58035
1395,713302,58063
1396,713547,58074
1397,713667,58078
1398,713791,58080
1399,714023,58087
1400,714158,58089
1401,714446,58134
1402,715639,58193
1403,715947,58199
1404,719017,58306
1405,719439,58315
1406,719586,58323
1407,719821,58329
1408,720455,58355
1409,721098,58429
1410,721366,58434
1411,721522,58443
1412,721732,58455
1413,721882,58460
1414,722102,58477
1415,722208,58477
1416,722425,58489
1417,723174,58520
1418,723420,58534
1419,724715,58573
1420,724852,58573
1421,725694,58612
1422,726081,58634
1423,726277,58638
1424,726551,58654
